q_id,q_text,correct_a_text
q_81,(a) The Word application window is build up of several parts. State the name of the part displayed in the Image X in Figure X. (b) Explain the purpose of one element (button icon etc.) in the area whose name you mentioned in part a.,(a) This is the Quick Access Toolbar. (b) (For example:) The Save button saves the recent changes made to the Word document.
q_21,(a) The Word application window is build up of several parts. State the name of the part displayed in the Image X in Figure X. (b) Explain the purpose of one element (button icon etc.) in the area whose name you mentioned in part a.,(a) This is the Ribbon. (b) (For example:) The Bold button makes the text look bold (thicker.)
q_51,(a) The Word application window is build up of several parts. State the name of the part displayed in the Image X in Figure X. (b) Explain the purpose of one element (button icon etc.) in the area whose name you mentioned in part a.,(a) This is the Search Bar (also called 'Tell Me Box.') (b) The Search Bar lets you search for buttons and options in Word.
q_63,(a) The Word application window is build up of several parts. State the name of the part displayed in the Image X in Figure X. (b) Explain the purpose of one element (button icon etc.) in the area whose name you mentioned in part a.,(a) This is the Status Bar. (b) (For example:) The Print Layout button changes the Word window view to this of the Print Layout (you see the word pages as when they are printed.)
q_28,(a) What is the name of the PowerPoint object appearing in the Figure X? (b) Where do you need to click to delete/remove this object?,(a) This is the placeholder of the Title or 'Title placeholder' shortly. (b) You can either right-click it and choose 'Cut' from the shortcut menu or click its boundary and then click on the DELETE key.
q_85,(a) What is the object displayed in Figure X? (b) What happens to the object when you click on the triangle button at the bottom-left of the object?,(a) This is a video added to the PowerPoint slide. (b) When we click on the triangle button the video starts playing.
q_77,(a) Why does Word show a strange colorful underline in the phrase in Figure X? (b) Mention one way to fix the issue and remove this underline with the help of Word (do NOT say 'I can simply delete it and re-type it.'),(a) The word 'colroful' is misspelled so Word warns you by drawing a red wavy underline under that word. (b) You can right-click the word or phrase with that underline and from the options shown click on the right correction. The correction will replace the mistake and the underline will disappear. [Alternatively: open the Review tab and click the Editor (also called Spelling and Grammar) button to view the detected grammar and spelling errors and correct them.]
q_49,(a) Why does Word show a strange colorful underline in the phrase in Figure X? (b) Mention one way to fix the issue and remove this underline with the help of Word (do NOT say 'I can simply delete it and re-type it.'),(a) The word 'eat' should be corrected to 'eats' because 'girl' is singular so Word warns you by drawing a blue double underline under that word. (b) You can right-click the word or phrase with that underline and from the options shown click on the right correction. The correction will replace the mistake and the underline will disappear. [Alternatively: open the Review tab and click the Editor (also called Spelling and Grammar) button to view the detected grammar and spelling errors and correct them.]
q_44,A non-square page can have one of two orientation types: portrait and landscape. Which one is the orientation type of a PowerPoint slide and how can you tell by looking at the slide? Note: The cheat-sheet page describes the orientation of an Excel page but the same idea applies to the orientation of a PowerPoint slide.,Landscape because the width of a slide is longer than its height.
q_47,Describe one way in which you can change the Picture X inside a Word document shown in Figure X 'Apple: Before' to the Picture X shown in Figure X 'Apple: After'.,Select the Picture X Click on any one of the 4 corner sizing handles (those white small circles on the Picture X 's corners) and drag it towards the opposite corner (inwards the Picture X ) until the Picture X becomes as small as needed.
q_2,Explain one difference between a .docx Word file and a .doc Word file.,One of the following answers would suffice: A .docx Word file belongs the newest version of Word while a .doc Word file belongs to an older version of Word. A .docx Word file works with Word 2007 and beyond while a .doc Word file works with Microsoft Word 2003 and older. A .docx Word file has improved scripts macros and other features compared to a .doc Word file.
q_7,Explain one way to open the Word Application on a Windows 10 computer.,Click the Start button scroll through the list of apps until the Word app name appears Click the Word app name to open the app.
q_46,Explain where you should click to: (a) Save the Word document for the 1st time (mention just one way.) (b) Open an existing Word document on your Windows 10 computer (mention just one way.),(a) (For example:) File Tab Save As This PC type the file name and choose the folder to which it will be saved Click on 'Save'. (b) (For example:) Open the Word app File Tab Open This PC search for the document or open the folder where it's saved Click on the name of the document Click on 'Open'.
q_36,Explain why the 1st slide in a PowerPoint presentation is called the 'Title Slide' according to our lectures.,The Title Slide comes with placeholders for both the title and subtitle of the entire presentation so it serves as the title of the presentation.
q_33,Here is a paragraph in a Word document: I walked on the street When I entered the store. Explain where a Word user should click to change the paragraph above into the paragraph: When I entered the store I walked on the street. Be specific. Your answer should NOT say: 'I can simply delete the current paragraph and type the new paragraph from scratch.',(An example of an answer:) Select the words 'I walked on the street' and cut them (Ctrl + X on Windows or Cmnd+X on Mac.) Then move the cursor to the place before the period (.) and paste (Ctrl + V on Windows or Cmnd+V on Mac) the words you cut at that place.
q_43,How can you enter a hyperlink into an existing text?,Select the text from which you want to make a hyperlink Insert tab Link button (the Insert Hyperlink dialog box will open) Click OK.
q_14,How can you insert a Picture X inside the object shown in Figure X? Assume that the Picture X you wish to insert is already located on your computer's Desktop folder.,This object is the Content Placeholder. Click the Picture X s icon inside this content placeholder to open the Insert Picture X dialog box Scroll through the list of files on the Desktop to find that Picture X double-click the name of this Picture X which will insert it into the slide thus replacing the placeholder.
q_42,How can you insert a table with 3 rows and 2 columns inside the PowerPoint box shown in Figure X? Your answer must use the box shown in that Figure X.,This object is a content placeholder. Click the 'Insert Table' icon inside this content placeholder to open the Insert Table dialog box Type 3 in the 'Number of rows' box and 2 in the 'Number of columns' box Click OK for the table to be added.
q_48,How can you move the shapes in Figure X 'My Shapes' so that they are positioned like those in Figure X 'My Shapes: Moved'? In your answer you must use a button on the Drawing Tools (Shape) Format Tab.,Select all the 3 shapes by clicking and holding the Control button on the keyboard and clicking on each of the shapes Click the Drawing Tools (Shape) Format Tab Click the Align button Click 'Align to Slide' Click the Align button again Click 'Distribute Horizontally'.
q_22,How do you change the layout of a slide to Title and Content? Mention one way.,Right-click the slide you want to delete inside the Slides tab Move the mouse above the 'Layout' option Click on the layout which you want the slide to have.
q_8,How do you change the shapes on a PowerPoint slide shown in Figure X 'Three Shapes' to the shape in Figure X 'Three Shapes: Changed'?,The three shapes have been grouped into a single shape. To group 2 or more shapes select them all by using the Ctrl or Command button. Then click the Home tab Arrange button Group option to group the shapes.
q_69,How do you delete a slide? Mention one way.,Right-click the slide you want to delete inside the Slides tab Click the 'Delete' option.
q_11,How do you duplicate a slide? Mention one way.,Select the slide you want to duplicate Home tab New Slide arrow Click `Duplicate Selected Slides'.
q_92,If a paragraph has 10 points of space below it and the paragraph underneath has additional 16 points of space above it how much space is there between the two paragraphs?,Since there are 10 points of space below the 1st paragraph and there are 16 points of space above the 2nd paragraph there will be a total of 26 points of space between the two paragraphs.
q_135,If a paragraph has 10 points of space below it and the paragraph underneath has additional 19 points of space above it how much space is there between the two paragraphs?,Since there are 10 points of space below the 1st paragraph and there are 19 points of space above the 2nd paragraph there will be a total of 29 points of space between the two paragraphs.
q_94,If a paragraph has 11 points of space below it and the paragraph underneath has additional 10 points of space above it how much space is there between the two paragraphs?,Since there are 11 points of space below the 1st paragraph and there are 10 points of space above the 2nd paragraph there will be a total of 21 points of space between the two paragraphs.
q_119,If a paragraph has 11 points of space below it and the paragraph underneath has additional 11 points of space above it how much space is there between the two paragraphs?,Since there are 11 points of space below the 1st paragraph and there are 11 points of space above the 2nd paragraph there will be a total of 22 points of space between the two paragraphs.
