a_id,a_text,q_id,score
125-q_81,This is the Quick Access Bar. The first button the Save button allows you to save your progress.,q_81,correct
13-q_81,a. The picture in Figure X is the quick access toolbar. b. The first element is the save button and it allows you to keep your work intact so if your computer runs out of battery you can open the file to the last point where you saved it.,q_81,correct
17-q_81,A: This part is called quick access toolbar. B: The first one was the save button purpose of that would be save the document in to your computer.,q_81,correct
18-q_81,a) That part of Word is known as the Quick Access Toolbar b) The button that is in the shape of a floppy disk is used as the save function.,q_81,correct
19-q_81,A. This is the quick access toolbar. B. The furthest left square icon is the save icon. Clicking it allows you to quickly save the changes made to the document.,q_81,correct
203-q_81,a) Ribbon b) the save button allows you to save your work,q_81,incorrect
205-q_81,a) Ribbon b) The purpose of the first icon is to save the document as a file.,q_81,incorrect
206-q_81,a) Quick Access Toolbar b) The purpose of save is save what you write in the document.,q_81,correct
207-q_81,A) Quick access toolbar B) Undo button which is the backward arrow. This button allows you to undo something that you have done to the document.,q_81,correct
215-q_81,A) Quick access tool bar B)The button all the way on the left saves the document if you click on it.,q_81,correct
33-q_81,Ribbon area; Document area Print area Document area is the main area where users can create and edit their documents.,q_81,incorrect
38-q_81,The quick access toolbar. The button all the way on the left allows you to save the document on the spot.,q_81,correct
50-q_81,The standard tool bar is the name of the Figure X) One element is the first option which is the save icon. This icon allows you to save the file wherever you would like to.,q_81,correct
62-q_81,I can do the layout options and and when I click the image the format tab will appear in the ribbion.,q_81,incorrect
89-q_81,quick access toolbar,q_81,incorrect
94-q_81,a) Quick access toolbar b) 2nd button is undo the purpose is take a step back of edited history while editing and its the most frequency feature that people used.,q_81,correct
101-q_21,(a) The part shown is called the ribbon. (b) The tabs on the ribbon are a way of organizing the tools and options in Word each tab gives a whole new set of options.,q_21,incorrect
103-q_21,The part displayed is called Ribbon. The U/Underline button underlines text.,q_21,correct
107-q_21,It is used to control the font of your text while the size of your text too.,q_21,incorrect
10-q_21,(a) - This is the Ribbon section. (b) - The 'Bold' button in the ribbon section is used to make selected text thicker and darker so that they stand out in the text.(Example: Subject Headers Section Titles etc.),q_21,correct
115-q_21,(A)The part displayed is called the Ribbon. (B) One of the buttons provided in he image is the 'Calibi (Body)' which is known as the font button. This allows you to select from a variety of text fonts for your document.,q_21,correct
127-q_21,a) The area displayed in the image is called the ribbon. It contains tabs a number of tabs and tools which are essential for the word application. b) One element present in this area is the underline button which is displayed as an uppercase 'U' with a horizontal line under it. Its purpose is to underline any text that is selected when it is used.,q_21,correct
136-q_21,a) This part is the Ribbon. b) The underline button underlines a certain letter word or text.,q_21,correct
142-q_21,The top part of a Word document which includes the title bar and menu options can be collectively referred to as the 'Word Application Window.' This window contains the title bar displaying the document's name the menu options and various tools for working with your document.,q_21,incorrect
146-q_21,A) The menu bar B)The Font button lets you change the style of the font the size the boldness and the color of the font.,q_21,incorrect
149-q_21,A) The part displayed in Figure X is called 'Menu Bar' and it is made up of standard toolbar and formating toolbar. B) While from Home tab you can edit and change your text in simple ways from design tab however you can apply more advanced edits for example shading shaping text and shape effects and much more.,q_21,incorrect
155-q_21,(a) The ribbon (b) The Bullet button in the Home tab puts text into a bulleted list or allows you to type a bulleted list.,q_21,correct
169-q_21,a)this is a ribbon home tap. b)Bullets button locate in the top of the 'paragraph' can change the paragraph that you select into a bulleted list.,q_21,correct
172-q_21,the image in Figure X is the ribbion. this part includes the Quick access toolbar which can Save Undo and Redo the page.,q_21,incorrect
187-q_21,a) The name for the part displayed is called the Ribbon. b)In the ribbon there are multiple features that you can use such as tabs. This function allows you to organize your tools and options that word has provided for you.,q_21,incorrect
193-q_21,Purpose of the 'Home' Button: The Home button is located on the Ribbon the tabbed toolbar at the top of the Word window. Clicking the Home button will take you to the Home tab where you can find various tools and features related to text formatting paragraph formatting and basic document editing. The Home tab typically includes the following features: Font formatting options (e.g. font style size color bold italics underline). Paragraph formatting options (such as alignment line spacing bullet points numbering). Clipboard functions (e.g. cut copy paste). Styles (for example to quickly apply predefined formatting to text). Therefore the Home button allows you to access these basic text and paragraph formatting tools and features in Microsoft Word making it easier to format and edit documents efficiently.,q_21,correct
195-q_21,16a. This is the Ribbon. 16b. For example: The Bold button makes the text look bold (thicker.),q_21,correct
40-q_21,This part of the Word application window is called the ribbon. The purpose of the B button under the font is to make your text bold.,q_21,correct
52-q_21,a. File Insert Draw Design Layout. b. On the file part you can save the document to the pc.,q_21,incorrect
59-q_21,The name of this part is called the ribbon. One element of the ribbon is the Underline button which underlines the text.,q_21,correct
69-q_21,The ribbon is what is shown in the image in Figure X as it is in the top of the Word window and also composes of the window title bar. The ribbon also includes the dialog box which is an element that opens a dialog box with more options for each group.,q_21,correct
96-q_21,A) This part of the document is called the ribbon. B) In the ribbon there are tabs the tabs are a way for the ribbon to organize its many tools. Each tab has a different set of options and functions for you to use.,q_21,incorrect
97-q_21,a. The name of this part is the Ribbon. b. The U which is the underline style button can underline the text you selected.,q_21,correct
98-q_21,The name of the part displayed on Figure X is the Ribbon. The purpose of one element inside the ribbon is the letter customization. The Ribbone is where you can change the font wnat to higlight any words/phrases and change the color of words.,q_21,correct
9-q_21,a) this is called 'Ribbon'. b) the 'B' icon in the Ribbon which is the Bold option to make the text look thicker.,q_21,correct
105-q_51,(a) Ribbon (b) Styles,q_51,incorrect
112-q_51,(a)The part displayed in the window area of the Word application is called the document area. This is where the main content of the document is displayed and edited. (b)The purpose of the 'Undo' button in the document area of the Word application is to allow users to undo their most recent action or series of actions.,q_51,incorrect
119-q_51,a) Search bar b) You can use the search bar to quick access the element you want to find.,q_51,correct
121-q_51,A. The search engine to search for features. B. The search engine is used to search up for all the features that you could edit your document with.,q_51,correct
123-q_51,A. Search Box b. seach for text Navigation,q_51,correct
12-q_51,a) The name of the part displayed is the Microsoft search bar b) The purpose of the search button is to type for any feature available on Microsoft word and it find it for you instead of looking for it through the tabs. For example you may type print and it will give you the option to preview and print. This is helpful if you forgot where a certain feature is located.,q_51,correct
