a_id,a_text,q_id,score
101-q_21,(a) The part shown is called the ribbon. (b) The tabs on the ribbon are a way of organizing the tools and options in Word each tab gives a whole new set of options.,q_21,incorrect
103-q_21,The part displayed is called Ribbon. The U/Underline button underlines text.,q_21,correct
107-q_21,It is used to control the font of your text while the size of your text too.,q_21,incorrect
10-q_21,(a) - This is the Ribbon section. (b) - The 'Bold' button in the ribbon section is used to make selected text thicker and darker so that they stand out in the text.(Example: Subject Headers Section Titles etc.),q_21,correct
115-q_21,(A)The part displayed is called the Ribbon. (B) One of the buttons provided in he image is the 'Calibi (Body)' which is known as the font button. This allows you to select from a variety of text fonts for your document.,q_21,correct
127-q_21,a) The area displayed in the image is called the ribbon. It contains tabs a number of tabs and tools which are essential for the word application. b) One element present in this area is the underline button which is displayed as an uppercase 'U' with a horizontal line under it. Its purpose is to underline any text that is selected when it is used.,q_21,correct
136-q_21,a) This part is the Ribbon. b) The underline button underlines a certain letter word or text.,q_21,correct
142-q_21,The top part of a Word document which includes the title bar and menu options can be collectively referred to as the 'Word Application Window.' This window contains the title bar displaying the document's name the menu options and various tools for working with your document.,q_21,incorrect
146-q_21,A) The menu bar B)The Font button lets you change the style of the font the size the boldness and the color of the font.,q_21,incorrect
149-q_21,A) The part displayed in Figure X is called 'Menu Bar' and it is made up of standard toolbar and formating toolbar. B) While from Home tab you can edit and change your text in simple ways from design tab however you can apply more advanced edits for example shading shaping text and shape effects and much more.,q_21,incorrect
155-q_21,(a) The ribbon (b) The Bullet button in the Home tab puts text into a bulleted list or allows you to type a bulleted list.,q_21,correct
169-q_21,a)this is a ribbon home tap. b)Bullets button locate in the top of the 'paragraph' can change the paragraph that you select into a bulleted list.,q_21,correct
172-q_21,the image in Figure X is the ribbion. this part includes the Quick access toolbar which can Save Undo and Redo the page.,q_21,incorrect
187-q_21,a) The name for the part displayed is called the Ribbon. b)In the ribbon there are multiple features that you can use such as tabs. This function allows you to organize your tools and options that word has provided for you.,q_21,incorrect
193-q_21,Purpose of the 'Home' Button: The Home button is located on the Ribbon the tabbed toolbar at the top of the Word window. Clicking the Home button will take you to the Home tab where you can find various tools and features related to text formatting paragraph formatting and basic document editing. The Home tab typically includes the following features: Font formatting options (e.g. font style size color bold italics underline). Paragraph formatting options (such as alignment line spacing bullet points numbering). Clipboard functions (e.g. cut copy paste). Styles (for example to quickly apply predefined formatting to text). Therefore the Home button allows you to access these basic text and paragraph formatting tools and features in Microsoft Word making it easier to format and edit documents efficiently.,q_21,correct
195-q_21,16a. This is the Ribbon. 16b. For example: The Bold button makes the text look bold (thicker.),q_21,correct
40-q_21,This part of the Word application window is called the ribbon. The purpose of the B button under the font is to make your text bold.,q_21,correct
52-q_21,a. File Insert Draw Design Layout. b. On the file part you can save the document to the pc.,q_21,incorrect
59-q_21,The name of this part is called the ribbon. One element of the ribbon is the Underline button which underlines the text.,q_21,correct
69-q_21,The ribbon is what is shown in the image in Figure X as it is in the top of the Word window and also composes of the window title bar. The ribbon also includes the dialog box which is an element that opens a dialog box with more options for each group.,q_21,correct
96-q_21,A) This part of the document is called the ribbon. B) In the ribbon there are tabs the tabs are a way for the ribbon to organize its many tools. Each tab has a different set of options and functions for you to use.,q_21,incorrect
97-q_21,a. The name of this part is the Ribbon. b. The U which is the underline style button can underline the text you selected.,q_21,correct
98-q_21,The name of the part displayed on Figure X is the Ribbon. The purpose of one element inside the ribbon is the letter customization. The Ribbone is where you can change the font wnat to higlight any words/phrases and change the color of words.,q_21,correct
9-q_21,a) this is called 'Ribbon'. b) the 'B' icon in the Ribbon which is the Bold option to make the text look thicker.,q_21,correct
105-q_51,(a) Ribbon (b) Styles,q_51,incorrect
112-q_51,(a)The part displayed in the window area of the Word application is called the document area. This is where the main content of the document is displayed and edited. (b)The purpose of the 'Undo' button in the document area of the Word application is to allow users to undo their most recent action or series of actions.,q_51,incorrect
119-q_51,a) Search bar b) You can use the search bar to quick access the element you want to find.,q_51,correct
121-q_51,A. The search engine to search for features. B. The search engine is used to search up for all the features that you could edit your document with.,q_51,correct
123-q_51,A. Search Box b. seach for text Navigation,q_51,correct
12-q_51,a) The name of the part displayed is the Microsoft search bar b) The purpose of the search button is to type for any feature available on Microsoft word and it find it for you instead of looking for it through the tabs. For example you may type print and it will give you the option to preview and print. This is helpful if you forgot where a certain feature is located.,q_51,correct
140-q_51,(a) This is the ribbon section of the document. (b) Here you will find the insert tab where you can change the font of the document.,q_51,incorrect
148-q_51,A. Ribbon B. The ribbon is at the top of the word window you can do many things with it for example tabs is for organizing the many tools and option Word has. Clicking each tab give you different and a whole new set of option.,q_51,incorrect
162-q_51,(a) Microsoft Search box (b) This powerful tool helps you quickly find what you're looking for from text to commands to help.,q_51,correct
218-q_51,a) This is the 'Tell me what to do' section or the Search section b) You can search up the feature or command you want to access in this section.,q_51,correct
27-q_51,(a) This is the Search Bar (also called Tell Me Box. ) (b) The Search Bar lets you search for button sand options in Word.,q_51,correct
42-q_51,No answer was provided,q_51,incorrect
49-q_51,a: Ribbon b: Dialog box- Clicking the small boxed-in arrow at the bottom right-hand corner of each group opens a dialog box with more options for each group,q_51,incorrect
6-q_51,I would select 'When I entered the store' and cut using (Cmnd+X) then paste it in order to create the second sentence.,q_51,incorrect
70-q_51,a) The ribbon where this search box can be located b) Tabs which are a way of organizing the many tools and options Word has that we need to use.,q_51,incorrect
79-q_51,A)Search Bar B) Helps you find characters words and phrases,q_51,correct
7-q_51,a) The Search Bar b) The Search Bar helps you to find out the icon and button in word.,q_51,correct
87-q_51,a. This is the Tell Me Box (Word's Search Box) b. The search box can help you find commands in the application.,q_51,correct
91-q_51,A)search box 'TELL ME WHAT YOU WANT TO DO' B)you can type font and look at the fonts you would like to use navigates word using word searching.,q_51,correct
104-q_48,First select those three objects. If you have multiple objects together on a slide you can make them into a Group using the Group Objects menuThe Arrange menu is found in the Drawing group of the Home tab. Then click align center,q_48,incorrect
107-q_48,You would Crtl +A and then click on the Format tab then go to the Algin button to center all the picture together in the center.,q_48,incorrect
108-q_48,you would click the 'Align' option then 'Distribute horizontally'.,q_48,correct
109-q_48,Select all the 3 shapes by clicking and holding the Control button on the keyboard and clicking on each of the shapes Click the Drawing Tools (Shape) Format Tab Click the Align button Click Align to Slide Click the Align button again Click Distribute Horizontally,q_48,correct
113-q_48,Click the WordArt shape or text box that you want to move up or down in the stack. On the Drawing Tools Format tab click either Bring Forward or Send Backward. You'll have the choice of moving the object up one layer (Bring Forward) or to the top of the stack (Bring to Front).,q_48,incorrect
114-q_48,No answer was provided,q_48,incorrect
116-q_48,You can go to the Arrange menu which is found in the Drawing group of the Home tab. Then you must select the objects you want to arrage in this case the cube and rhombus and press align to the left.,q_48,incorrect
117-q_48,To do this you can select the diamond square and the double triangle shapes. In the home tab click arrange and choose the Group option. Now that you have one group of the shapes select the group open the tabe Shape Format and select align then choose the option align center.,q_48,incorrect
119-q_48,Select all the 3 shapes by clicking and holding the Control button on the keyboard and clicking on each of the shapes Click the Drawing Tools (Shape) Format Tab Click the Align button Click Align to Slide Click the Align button again Click Distribute Horizontally .,q_48,correct
123-q_48,Click on the shape then go to drawing tools then arrange then you will find options for alligning the shapes. such as left right top down,q_48,incorrect
130-q_48,Arrange menu provides a variety of options. Select the box to arrenge .Align will specifically position the selected object.Then click on Aligen center.So the box position will be center.,q_48,incorrect
131-q_48,Select all the 3 shapes by clicking and holding the Control button on the key board and clicking on each of the shapes Click the Drawing Tools(Shape) Format Tab Click the Align button Click Align to Slide Click the Align button again Click Distribute Horizontally .,q_48,correct
133-q_48,No answer was provided,q_48,incorrect
136-q_48,In order to postion the shapes in Figure X to be the same as Figure X you must: Select the shapes -> Click the Drawing Tools (Shape) Format Tab -> Click the Align button and click the Align Center option. This process will shift the position of the shapes to the center of the slide.,q_48,incorrect
142-q_48,To move shapes in Microsoft Word using the Drawing Tools (Shape) Format Tab to position them like Figure X: Select the shapes. Go to the 'Drawing Tools' or 'Format' tab. In the 'Arrange' or 'Position' group use the 'Position' or 'Align' button to specify their new location. This allows you to arrange the shapes as needed in your document.,q_48,incorrect
143-q_48,Select all the three shapes by clicking and holding the control button which found on the keyboard while clicking on each of the shapes > Click the drawing tools shape > Format Tab > align button > align to slide > click the align button again > Distribute Horizontally,q_48,correct
146-q_48,To move the shapes from Figure X to Figure X you must right click and drag the shapes to the desired location. You may also use the arrange menu to move the shapes around.,q_48,incorrect
153-q_48,Select all the 3 shapes by clicking and holding the control button on the keyboard and clicking on each of the shapes. Then click the drawing tools (shape) format tab. From there click the align button align to slide the align button again then click on distribute horizontally .,q_48,correct
157-q_48,Select each of the shapes click the Drawing Tools (Shape) Format Tab click Align select Align to Slide click the align button again and click distribute horizontally.,q_48,correct
158-q_48,You could select the shapes and drage them to the center line aligning the all in the middle and with each other,q_48,incorrect
159-q_48,Select all the 3 shapes by clicking and holding the Control button on the key board and clicking on each of the shapes Click the Drawing Tools(Shape) Format Tab Click the Align button Click Align to Slide Click the Align button again Click Distribute Horizontally .,q_48,correct
160-q_48,You can select all 3 shapes by holding down the Control button and then after selecting each shape on your keyboard click on the Drawing Tools (Shapes) select 'Format' and press 'Align' and press 'Align to Slide' then click 'Horizontal' distributed'.,q_48,correct
161-q_48,To align objects as represented below you can first start by going to the ''Drawing'' category in the ''Home'' tab. You can then go to ''Arrange'' menu and go to align in the ''Position Object Tab'' category where you can choose how you want your pictures to stand at.,q_48,incorrect
163-q_48,The way to move that shape to the middle click on the shape you would want to move and then click on the shape format on the arrange side you would see there is shape align then click on distribute horizontally.,q_48,correct
168-q_48,You should refer to the Arrange menu found in the 'Drawing' group of the Home tab; this will allow you to choose how and where you would like these shapes to be arranged.,q_48,incorrect
174-q_48,Select all the 3 shapes by clicking and holding the Control button on the keyboard and clicking on each of the shapes Click the Drawing Tools(Shape) Format Tab then Click the Align button Click Align to Slide Click the Align button again finnaly Click 'Distribute Horizontally .,q_48,correct
175-q_48,In order to transition from Figure X to Figure X you can select the objects you want to arrange go to the drawing tab and click arrange. When you click the drop down you can choose how each elected object is arranged on the slide. You can align send backward bring to front etc...,q_48,incorrect
178-q_48,Press control and then press the 3 shapes. Then click the drawing tools (shape0 format tab and then click align then align to slide then click align again and then click distribute horizontally. Control and click all 3 shapes-> drawing tools (shape) format tab-> click align button-> click align to slide-> click align button-> click distribute horizontally.,q_48,correct
179-q_48,select all the shapes you wish to edit by clicking and holding the control button click the drawing tools formart tab click align click align to slide click align again click distribute horizontally.,q_48,correct
17-q_48,You can do so by select the shapes that you want to move go to format click the align. In this Figure Xit align right.,q_48,incorrect
181-q_48,You can move the shapes in Figure X to the shapes in Figure X by selecting all the chapes then clicking the align tab,q_48,incorrect
184-q_48,In order to move the shapes in Figure X so that they are positioned to those in Figure X would be to select all three shapes by clicking and holding the control and clicking on each of the shapes after that you would click the drawing tool then go to format tab click the allign button then click allign to slide click the allign button once more then finally click distribute horizontally.,q_48,correct
191-q_48,The Arrange button is on the menu is found in the Drawing group of the Home tab.,q_48,incorrect
192-q_48,You would need to click the 'arrange' option found in 'drawing' group of the home tab. Then select the single object you would want to move and drag it to the location you want it at.,q_48,incorrect
195-q_48,8) You can move the shapes by going to the dropdown Arrange menu which provides you with a variety of options. Align will specifically position the selected object somewhere on the slide.,q_48,incorrect
196-q_48,To get the shapes positioned like those in Figure X you select the objects you want to arrange then go to the Home Tab click Arrange under the Drawing group. A dropdown Arrange Menu will pop up and select Align and then click Align Middle.,q_48,incorrect
198-q_48,You can move the shapes by seelecting all of the 3 shapes by clicking and than holding the Control button which is on the keyboard and than clicking on each of the shapes Click the Drawing Tools (Shape) Format Tab and than Click the Align button lick Align to Slide and than click the Align button again and than Click Distribute Horizontally.',q_48,correct
199-q_48,Select all the 3 shapes by clicking and holding the Control button on the keyboard and clicking on each of the shapes. Click the Drawing Tools (Shape) Format Tab. Click the Align button. Click Align to Slide . Click the Align button again Click Distribute Horizontally .,q_48,correct
200-q_48,Home > arrange (in the 'drawing group') > align and try any align it should be 'Align middle'.,q_48,incorrect
201-q_48,Select the objects--> Click the Drawing Tools (Shape) Format--> Click the position button--> Click Position in Center with Square Wrapping.,q_48,incorrect
209-q_48,You have to click the Arrange tool and will be provided with a variety of options. Align will specifically position the selected object somewhere on the slide.,q_48,incorrect
20-q_48,Select all the 3 shapes by clicking and holding the Control button on the keyboard and clicking on each of the shapes - Click the Drawing Tools (Shape) - Format Tab - Click the Align button - Click 'Align to Slide - Click the Align button again - Click Distribute Horizontally .,q_48,correct
216-q_48,Select all the 3 shapes by clicking and holding the Control button on the keyboard and clicking on each of the shapes Click the Drawing Tools(Shape) Format T ab Click the Align button Click Align to Slide Click the Align button again Click Distribute Horizontally .,q_48,correct
219-q_48,You would click on the shape you want to move then go to Shape Format then click arrange. Next you would be able to choose the position option (other options such as selection pane).,q_48,incorrect
221-q_48,First select all of the shapes in Figure X (one way is by dragging your mouse over all of the shapes). Then click on the Arrange button in the Home Tab scroll down to/select Align and then click on the Distribute Horizontally button. That is how to position them as shown in Figure X),q_48,correct
22-q_48,Go to the 'Arrange' menu is found in the 'Drawing' group of the Home tab and selec a specific object to arrange. In this case we choose the 'two trangle'. The dropdown Arrange menu provides you a variety of options. Align will specifically position the selected object somewhere on the slide.,q_48,incorrect
23-q_48,No answer was provided,q_48,incorrect
25-q_48,To move the shapes you can go to home > arrange > and align each object how you want.,q_48,incorrect
27-q_48,Select all the 3 shapes by clicking and holding the Control button on the keyboard and clicking on each of the shapes Click the Drawing Tools (Shape) Format Tab Click the Align button Click Align to Slide Click the Align button again Click Distribute Horizontally .,q_48,correct
28-q_48,Select the shapes you want to move by clicking on one shape holding down the Shift key and clicking on the other shapes. Go to the 'Shape Format' tab at the top of the screen. In the 'Arrange' group click on the 'Align' button. Select the 'Align Center' and 'Align Middle' options from the drop-down menu. In the same 'Arrange' group click on the 'Align' button again. Select the 'Align Horizontally' and 'Distribute Vertically' options from the drop-down menu.,q_48,correct
30-q_48,You can do this by choosing the Format. Click on the shape that would like to position and click on Align to choose where to position.,q_48,incorrect
32-q_48,Select all the 3 shapes by clicking and holding the Control button on the keyboard and clicking on each of the shapes Click the Drawing Tools (Shape) Format Tab Click the Align button Click Align to Slide Click the Align button again Click Distribute Horizontally,q_48,correct
33-q_48,I will need to select all three shapes by clicking and holding the Control button on the keyboard and clicking on each of the shapes then I will need to click the Drawing Tools( Shape) Format Tab then click on Align buttom then another click 'Align to Slide' then click the Align button again and click 'Distribute Horizontally'.,q_48,correct
35-q_48,inside the drawing tools tab in format there is an option that says arrange that you can use to move shapes arround without morphing or resizing them.,q_48,incorrect
36-q_48,select all three shapes by clicking and holding it control button then drawing tools shape format then click align then align to slide then align slide again then distribute it horizontally.,q_48,correct
3-q_48,select all shapes through dragging arrange group shape format align align to slide sign distribute horizontally,q_48,correct
40-q_48,To position the shapes like they are in Figure X go to the Format section and click Arrange. Go down to Align which is under Position Objects and then choose Align Middle.,q_48,incorrect
41-q_48,Given the example to position and center the shapes: select all the shapes by holding control and left clicking. Click the drawing tools format tab and then click 'align'. Select 'align to slide' and then click 'align' again to select 'distribute horizontally'.,q_48,correct
45-q_48,click and hold the cntrl button to select all the shapes click Drawing Tools then click align button then click align to slide then click align again thend istribute horizontally,q_48,correct
46-q_48,Select all the 3 shapes by clicking and holding the Control button on the keyboard and clicking on each of the shapes andClick the Drawing Tools (Shape) Format Tab and Click the Align button and Click Align to Slide and Click the Align button again and Click Distribute Horizontally.,q_48,correct
48-q_48,Select all the of shapes by clicking and holding the Control button on the keyboard and clicking on each of the shapes then Click the Drawing Tools (Shape) Format Tab followed by clicking the Align button next Click Align to Slide then Click the Align button again and finally Click Distribute Horizontally .,q_48,correct
